日期,期货名称,交割月份,前结算,今开盘,最高价,最低价,收盘价,结算参考价,涨跌1,涨跌2,成交手,持仓手数,增减量
20180102,cu_f    ,1801,55430,54430,55420,54430,55100,54920,-330,-510,22504,46860,-4304
20180102,cu_f    ,1802,55600,55400,55640,54840,55250,55140,-350,-460,130716,157116,-7488
20180102,cu_f    ,1803,55740,55540,55760,54960,55390,55270,-350,-470,89466,219848,-612
20180102,cu_f    ,1804,55840,55640,55880,55090,55530,55380,-310,-460,30198,101754,1660
20180102,cu_f    ,1805,56050,55810,56060,55260,55670,55580,-380,-470,18680,81596,-354
20180102,cu_f    ,1806,56230,55990,56200,55470,55810,55850,-420,-380,2728,46148,-1190
20180102,cu_f    ,1807,56400,56340,56350,55660,55960,55920,-440,-480,434,27636,72
20180102,cu_f    ,1808,56560,56310,56500,55760,56160,56050,-400,-510,396,24740,156
20180102,cu_f    ,1809,56790,56510,56650,56010,56350,56240,-440,-550,158,19700,0
20180102,cu_f    ,1810,56920,56700,56840,56160,56520,56330,-400,-590,1104,17498,4
20180102,cu_f    ,1811,57000,56870,56870,56390,56610,56490,-390,-510,64,1344,2
20180102,cu_f    ,1812,57110,56830,56830,56460,56770,56600,-340,-510,46,756,-16
20180102,cu_f    ,小计,,,,,,,,,296494,744996,-12070
20180102,al_f    ,1801,15020,15055,15240,14900,14985,15055,-35,35,20326,90690,-8646
20180102,al_f    ,1802,15125,15255,15450,15010,15075,15165,-50,40,250552,296254,-12706
20180102,al_f    ,1803,15235,15340,15470,15110,15175,15260,-60,25,162174,320394,9820
20180102,al_f    ,1804,15335,15400,15565,15205,15280,15375,-55,40,53446,123300,2168
20180102,al_f    ,1805,15425,15520,15660,15280,15370,15445,-55,20,23296,64630,1260
20180102,al_f    ,1806,15510,15635,15735,15380,15460,15530,-50,20,1600,14956,108
20180102,al_f    ,1807,15650,15740,15820,15490,15550,15645,-100,-5,820,1610,-30
20180102,al_f    ,1808,15665,15865,15865,15530,15605,15700,-60,35,66,948,14
20180102,al_f    ,1809,15750,15960,15960,15640,15695,15810,-55,60,20,526,-10
20180102,al_f    ,1810,15865,16030,16030,15775,15775,15920,-90,55,18,402,8
20180102,al_f    ,1811,15915,15970,15990,15800,15805,15830,-110,-85,36,312,22
20180102,al_f    ,1812,16035,16040,16040,15860,15865,15895,-170,-140,20,116,10
20180102,al_f    ,小计,,,,,,,,,512374,914138,-7982
20180102,zn_f    ,1801,25650,25795,26055,25715,25835,25845,185,195,9684,28080,-6064
20180102,zn_f    ,1802,25655,25820,26115,25710,25850,25855,195,200,228518,170592,-2626
20180102,zn_f    ,1803,25655,25795,26095,25710,25855,25850,200,195,132988,164164,9634
20180102,zn_f    ,1804,25645,25770,26050,25690,25830,25840,185,195,29102,31632,2606
20180102,zn_f    ,1805,25615,25750,26000,25645,25795,25790,180,175,22220,56254,1408
20180102,zn_f    ,1806,25545,25635,25930,25630,25770,25750,225,205,462,4448,78
20180102,zn_f    ,1807,25500,25635,25825,25575,25690,25655,190,155,44,300,10
20180102,zn_f    ,1808,25465,25645,25710,25595,25595,25665,130,200,10,372,0
20180102,zn_f    ,1809,25440,25750,25750,25460,25635,25575,195,135,24,492,8
20180102,zn_f    ,1810,25380,25525,25760,25430,25595,25575,215,195,32,494,10
20180102,zn_f    ,1811,25375,25685,25685,25510,25510,25625,135,250,6,162,4
20180102,zn_f    ,1812,25290,25415,25540,25415,25540,25475,250,185,4,64,2
20180102,zn_f    ,小计,,,,,,,,,423094,457054,5070
20180102,pb_f    ,1801,19105,19080,19145,18860,18940,18945,-165,-160,1430,8710,-670
20180102,pb_f    ,1802,19160,19180,19220,18880,19020,19005,-140,-155,37084,40980,674
20180102,pb_f    ,1803,19135,18980,19180,18860,19030,18980,-105,-155,8724,15046,808
20180102,pb_f    ,1804,19125,19180,19185,18850,18915,18990,-210,-135,134,646,22
20180102,pb_f    ,1805,19150,19150,19160,18930,19035,19005,-115,-145,254,2130,28
20180102,pb_f    ,1806,19120,19100,19100,18940,18940,18990,-180,-130,6,188,0
20180102,pb_f    ,1807,19135,19110,19110,19110,19110,19110,-25,-25,2,116,0
20180102,pb_f    ,1808,19125,19100,19105,18900,18900,19010,-225,-115,8,46,-4
20180102,pb_f    ,1809,19140,19095,19095,18960,18995,19015,-145,-125,58,74,-4
20180102,pb_f    ,1810,19190,19120,19120,18990,19030,19050,-160,-140,10,26,-2
20180102,pb_f    ,1811,19195,19040,19040,19040,19040,19040,-155,-155,6,66,2
20180102,pb_f    ,1812,19010,,,,19010,19010,0,0,0,0,0
20180102,pb_f    ,小计,,,,,,,,,47716,68028,854
20180102,ni_f    ,1801,95810,97670,98390,97240,98120,97630,2310,1820,10150,36300,-8074
20180102,ni_f    ,1802,96020,97960,98870,97030,98870,97840,2850,1820,36,158,-6
20180102,ni_f    ,1803,96490,98340,99000,97840,98750,98270,2260,1780,216,4040,-8
20180102,ni_f    ,1804,96630,,,,98410,98410,1780,1780,0,102,0
20180102,ni_f    ,1805,96880,99000,99470,98080,99170,98750,2290,1870,410050,529614,23354
20180102,ni_f    ,1806,96790,,,,96790,96790,0,0,0,120,0
20180102,ni_f    ,1807,97250,97970,99850,97970,99560,99060,2310,1810,10266,25974,-774
20180102,ni_f    ,1808,97960,99300,99880,99060,99380,99350,1420,1390,10,70,-2
20180102,ni_f    ,1809,97800,99000,100150,98960,99880,99470,2080,1670,3498,21910,610
20180102,ni_f    ,1810,97900,98900,100270,98900,100270,99420,2370,1520,32,88,8
20180102,ni_f    ,1811,98410,99610,99610,99500,99500,99570,1090,1160,12,36,8
20180102,ni_f    ,1812,98100,,,,98430,98430,330,330,0,20,0
20180102,ni_f    ,小计,,,,,,,,,434270,618432,15116
20180102,sn_f    ,1801,142640,143320,144400,143010,143410,143550,770,910,1328,4972,-696
20180102,sn_f    ,1802,139310,,,,142730,142730,3420,3420,0,8,0
20180102,sn_f    ,1803,139960,,,,140850,140850,890,890,0,2,0
20180102,sn_f    ,1804,139610,,,,140500,140500,890,890,0,2,0
20180102,sn_f    ,1805,144450,145060,146740,144510,145940,145910,1490,1460,8176,16690,478
20180102,sn_f    ,1806,145050,,,,146520,146520,1470,1470,0,2,0
20180102,sn_f    ,1807,143160,,,,144610,144610,1450,1450,0,0,0
20180102,sn_f    ,1808,144910,,,,146380,146380,1470,1470,0,4,0
20180102,sn_f    ,1809,145890,145660,147110,145660,146560,146760,670,870,52,176,26
20180102,sn_f    ,1810,146480,,,,147350,147350,870,870,0,0,0
20180102,sn_f    ,1811,146850,,,,147720,147720,870,870,0,0,0
20180102,sn_f    ,1812,146850,,,,147720,147720,870,870,0,0,0
20180102,sn_f    ,小计,,,,,,,,,9556,21856,-192
20180102,au_f    ,1801,272.35,,,,272.35,272.35,0,0,0,84,0
20180102,au_f    ,1802,273.25,275.15,275.25,274.85,275.25,275.05,2,1.8,8,270,0
20180102,au_f    ,1803,272.35,,,,273.35,273.35,1,1,0,0,0
20180102,au_f    ,1804,275.85,276.6,276.6,276.6,276.6,276.6,0.75,0.75,2,258,0
20180102,au_f    ,1806,277.9,279.55,279.9,278.95,279.4,279.2,1.5,1.3,54760,255972,8372
20180102,au_f    ,1808,280.45,,,,280.45,280.45,0,0,0,52,0
20180102,au_f    ,1810,279.3,,,,280.6,280.6,1.3,1.3,0,32,0
20180102,au_f    ,1812,281.95,283.65,283.65,282.85,283.35,283.2,1.4,1.25,114,1038,74
20180102,au_f    ,小计,,,,,,,,,54884,257706,8446
20180102,ag_f    ,1801,3782,3730,3801,3730,3800,3792,18,10,288,2800,-28
20180102,ag_f    ,1802,3804,3827,3827,3827,3827,3827,23,23,2,498,-2
20180102,ag_f    ,1803,3823,,,,3823,3823,0,0,0,504,0
20180102,ag_f    ,1804,3841,3868,3870,3868,3868,3868,27,27,24,134,8
20180102,ag_f    ,1805,3864,3877,3894,3868,3877,3874,13,10,294,600,74
20180102,ag_f    ,1806,3885,3899,3910,3891,3902,3900,17,15,137022,602744,5922
20180102,ag_f    ,1807,3907,,,,3907,3907,0,0,0,292,0
20180102,ag_f    ,1808,3937,,,,3937,3937,0,0,0,104,0
20180102,ag_f    ,1809,3949,3977,3977,3965,3975,3971,26,22,18,390,-2
20180102,ag_f    ,1810,3974,,,,3974,3974,0,0,0,144,0
20180102,ag_f    ,1811,4000,4006,4006,3999,3999,4001,-1,1,10,76,-6
20180102,ag_f    ,1812,3991,4004,4023,4004,4019,4016,28,25,460,1208,186
20180102,ag_f    ,小计,,,,,,,,,138118,609494,6152
20180102,rb_f    ,1801,4215,4285,4301,4233,4280,4286,65,71,14954,44820,-12074
20180102,rb_f    ,1802,4027,3984,4070,3984,4038,4041,11,14,388,3830,342
20180102,rb_f    ,1803,3990,3971,4043,3969,4030,4017,40,27,508,4204,232
20180102,rb_f    ,1804,3896,3927,3985,3914,3985,3931,89,35,340,4296,-48
20180102,rb_f    ,1805,3794,3801,3886,3794,3874,3842,80,48,2961436,2413572,-110698
20180102,rb_f    ,1806,3738,3754,3832,3750,3820,3788,82,50,148,2784,2
20180102,rb_f    ,1807,3722,3726,3815,3726,3806,3757,84,35,180,382,2
20180102,rb_f    ,1808,3722,3709,3772,3707,3758,3729,36,7,100,466,-8
20180102,rb_f    ,1809,3675,3667,3730,3657,3715,3695,40,20,824,3882,2
20180102,rb_f    ,1810,3618,3610,3674,3606,3663,3638,45,20,141180,298196,-16328
20180102,rb_f    ,1811,3570,3564,3623,3564,3615,3595,45,25,150,3264,-22
20180102,rb_f    ,1812,3569,3578,3616,3570,3611,3590,42,21,124,450,-2
20180102,rb_f    ,小计,,,,,,,,,3120332,2780146,-138600
20180102,wr_f    ,1801,3121,,,,3121,3121,0,0,0,0,0
20180102,wr_f    ,1802,3121,,,,3121,3121,0,0,0,0,0
20180102,wr_f    ,1803,3121,,,,3121,3121,0,0,0,0,0
20180102,wr_f    ,1804,3121,,,,3121,3121,0,0,0,0,0
20180102,wr_f    ,1805,3121,,,,3121,3121,0,0,0,0,0
20180102,wr_f    ,1806,3121,,,,3121,3121,0,0,0,0,0
20180102,wr_f    ,1807,3121,,,,3121,3121,0,0,0,0,0
20180102,wr_f    ,1808,3121,,,,3121,3121,0,0,0,0,0
20180102,wr_f    ,1809,3121,,,,3121,3121,0,0,0,0,0
20180102,wr_f    ,1810,3121,,,,3121,3121,0,0,0,0,0
20180102,wr_f    ,1811,3121,,,,3121,3121,0,0,0,0,0
20180102,wr_f    ,1812,3121,,,,3121,3121,0,0,0,0,0
20180102,wr_f    ,小计,,,,,,,,,0,0,0
20180102,hc_f    ,1801,4155,4189,4189,4157,4170,4177,15,22,6006,32160,-3726
20180102,hc_f    ,1802,4000,4022,4127,4022,4127,4039,127,39,12,74,-12
20180102,hc_f    ,1803,3986,4060,4060,4055,4060,4058,74,72,6,94,-4
20180102,hc_f    ,1804,3968,3870,4014,3870,4000,3965,32,-3,24,72,6
20180102,hc_f    ,1805,3861,3850,3940,3842,3927,3893,66,32,570750,635234,4268
20180102,hc_f    ,1806,3835,,,,3867,3867,32,32,0,32,0
20180102,hc_f    ,1807,3766,,,,3798,3798,32,32,0,0,0
20180102,hc_f    ,1808,3654,,,,3685,3685,31,31,0,12,0
